Last,First,State,Office,District,Activity
Peard,Billy,AZ,State Representative,2,No
Sizemore,Paddy,TN,State Representative,40,No
Ward,Kyle,TN,Knox County Commissioner,4,No
Cardarelle,Renee,MN,State Representative,29A,No
Prine,Joshua,MN,State Senator,16,No
Putnam,Aric,MN,State Senator,14,No
Kinzelman,Paul,NM,State Representative,8,No
Brinkmeier,Arlan,MN,State Representative,47A,No
Kovach,Brad,MN,State Representative,30B,No
Frommeyer,Todd,TN,Knox County Commissioner,4,No
Durrett,Courtney,TN,Knox County Commissioner,2,No
Calhoun,Tamara 'Tami',MN,State Representative,14A,No
Lee,Jeff,CA,Grover Beach Mayor,,Yes
Highberger,"Dennis ""boog""",KS,State Representative,46,Yes
Peterson,Kimberly,TN,Knox County Commissioner,5,No
Fogel,Mark,OH,State Senator,6,No
Yamamoto Hanson,Rebecca ,ID,State Representative,10,No
Lambert,Larry,DE,State Representative,7,No
Kimmel,Marinda “Mindy”,MN,State Representative,16B,No
Lujan,Tara L.,NM,State Representative,48,Yes
Maffeo,Michael,NY,Staten Island Borough President,,No
Brady,Gerald,DE,State Representative,4,Yes
Stanley,Chris,OH,State Representative,59,No
Sharp,Catia,MA,State Representative,27th Middlesex,No
Crockett,Jasmine,TX,State Representative,100,No
Bentz,David,DE,State Representative,18,Yes
Khanin,Irina,VA,State Representative,29,No
Evans Gay,Kyle,DE,State Senator,5,No
Pinkney,Marie,DE,State Senator,13,No
Forest,Mark,MA,Barnstable County Commissioner,,No
D'Agostino ,Luann,DE,State Representative,22,No
Gomez,Adam,MA,State Senate,Hampden,No
Meyer,Matt,DE,County Executive,,Yes
Miranda,Jessica,OH,State Representative,28,Yes
Owens,Charlotte,OH,State Representative,78,Yes
Provenza,Karlee,WY,State Representative,45,No*
Roche,Brendan,MA,State Representative,1st Bristol,No*
Matson,Shannon,HI,State Representative,3,No*
Muzzall,Ron,WA,State Senate,10,Yes*
Walen,Amy,WA,State Representative,48,Yes*
Stafford,John,WA,State Representative,37,No*
Rhoads,Karl,HI,State Senate,13,Yes*
Gabbard,Mike,HI,State Senate,20,Yes*
Danimus,Ann Marie,WA,State Senate,4,No*
LP Kam,Vickie,HI,State Representative,42,No*
Fanene,Banner,HI,State Senate,22,No*
Kapaku,Theresa,HI,State Representative,13,No*
Chrupalyk,J Kahala,HI,State Representative,9,No
Miller,John,HI,State Senate,22,No*
Ipo Keen,Rynette,HI,State Senate,5,No*
Stover,Zach,WA,State Representative,31,No*
Stanley,Larry,WA,State Representative,8,No*
Lewandowsky,Kathryn,WA,State Senate,39,No*
Joens,Claus,WA,State Representative,39,No*
Johnson,Ryan,WA,State Representative,39,No*
Zokaie,Yara,CO,State Representative,49,No*
Mosley,Walter,NY,State Representative,57,Yes*
Homola,Angie,WA,State Representative,10,No*
Wiley,David,WA,State Representative,38,No*
Melzer,Marliza,WA,State Representative,33,No*
Young,Katie,WA,State Representative,31,No*
Stover,Zach,WA,State Representative,31,No*
Anderson,Anne,WA,State Representative,44,No*
Everson,Marianna,WA,State Representative,19,No*
Woodrow,Steven,CO,State Representative,6,Yes*
Biagetti,Samuel,MA,State Representative,5th Worchester,No*
Hopkins Everson,Mariana,WA,State Representative,19,No*
Rice,Dylan,NY,State Representative,8,No*
Morales,Ryan,FL,State Representative,32,No*
Giddens,Eric,IA,State Senate,30,Yes*
Morales,Eddie,TX,State Representative,74,No*
Everett,Chase,IA,State Representative,96,No*
Cattanach,Joanna,TX,State Representative,108,No
Aune,Ashley,MO,State Representative,14,No
Johnson,Christian,OH,State Senate,20,No
Spencer,Erin,NH ,State Representative,Rockingham 6,No
Smith,Michael,DE,State Representative,22,Yes
Barry,Stephanie,DE,State Representative,21,No
Osienski,Ed,DE,State Representative,24,Yes
Baumbach,Paul,DE,State Representative,23,Yes
Pope,Harold,NM,State Senate,23,No
Sokola,David,DE,State Senate,8,Yes
johnson,gloria ,TN,State Representative,13,Yes
Dever,James,MA,State Representative,5th Barnstable,No
Scorvo,Sean,OR,State Representative,23,No
Johnson,Laurel,OH,State Representative,3,No
Sandell,Steve,MN,State Representative,53B,Yes
Uyterhoeven,Erika,MA,State Representative,27,No
Chapman,Ian,CO,State Representative,39,No*
Thompson,Joseph,CO,State Representative,19,No*
Storojev,Kyra,CO,State Representative,44,No*
Bromley,Mark,CO,State Representative,34,No*
Damratowski,Mercadies,NE,State Senate,37,No*
Canavan-Wagner,Ricky,MA,State Representative,6th Essex,No*
Kennedy,Toni,NY,Town Board,,No*
Broad,Adam,IL,County Clerk,Adam Broad,No*
Bradley,Dennis,CT,State Senate,23,Yes* 
 de la Cruz,Joseph,CT,State Representative,23,Yes*
Haskell,Will,CT,State Senate,41,Yes * 
Cardona,Carlos,NH ,State Representative,26,No*
Lynch,Laura,NH ,State Representative,Belknap 3,No*
Hughes,Anne,CT,State Representative,Hillsborough 25,Yes* 
Salazar,Julia,NY,State Senate,135,Yes* 
Pellegrino,Christine,NY,State Representative,18,Yes*
Cabrera,Jorge,CT,State Senate,9,No*
Baldwin,Gregory,SD,State Representative,17,No*
Maroney,James ,CT,State Senate,14,Yes* 
Weston,Joyce,NH ,State Representative,14,No*
Gouveia,Tami,MA,State Representative,Grafton 8,No*
Whitlock,Karen,NM,State Representative,14th Middlesex,No*
McCabe,Michelle,CT,State Senate,38,No*
Biaggi,Alessandra,NY,State Senate,28,No*
Davis,Justin,TN,State Representative,34,No*
Statchen,Bob,CT,State Senate,14,No*
Meskers,Stephen,CT,State Representative,18,No*
Allie-Brennan,Raghib ,CT,State Representative,150,No*
Galonski,Tavia,OH,State Representative,2,Yes*
Bost,Kimberly,NC ,State Representative,35,No*
Seymour,Patrick,VT,State Representative,96,No*
Rosario,Christopher ,CT,State Representative,Caledonia-4,Yes*
Duff,Bob,CT,State Senate,128,Yes*
Bolinsky,Mitch,CT,State Representative,25,Yes*
Kuipers,Margaret,SD,State Representative,106,No*
Murray,Brian,MA,State Representative,11,Yes*
Abernathy,Chris,ID,State Representative,10 Worcester,No*
Marx,Martha,CT,State Senate,29A,No*
Ryan,Kevin,CT,State Representative,20,Yes*
Elliott,Joshua,CT,State Representative,139,Yes*
Tallman,Bill,NM,State Senate,12,Yes*
Gresko,Joseph,CT,State Representative,18,Yes*
Young,Philip,CT,State Representative,121,Yes*
Winkler,Michael,CT,State Representative,120,Yes*
Luxenberg,Geoff,CT,State Representative,56,No*
Davis,Kim,IA,State Representative,12,No*
Conley,Christine,CT,State Representative,78,Yes*
Jackson,Charles,CT,State Representative,40,No*
Ryu,Cindy,WA,State Representative,46,Yes*
McLeod,Donna,GA,State Representative,32A,No*
Stonier,Monica,WA,State Representative,105,Yes*
Rowsey,Jeanette,WV,State Representative,49B,No*
Hufstetler,Chuck,GA,State Senate,17,Yes*
Goulet,Jenn,WA,State Representative,52,No*
Day,Rick,GA,State Representative,9A,No*
Benton,Chris,GA,State Representative,7,No*
Danielson,Shanna,PA,State Representative,131,No*
Comerford,Jo,MA,State Senate,92,No*
Calabrese,John,WI,State Representative,"Hampshire, Franklin, Worcester",No*
Chyung,Chris,IN,State Representative,29,No*
Turco,Gary,CT,State Representative,27,No*
Collins,Jan,ME,State Senate,27,No*
Chenette,Justin,ME,State Senate,17,Yes*
Johansen,Chris,ME,State Representative,31,Yes*
Lowen,Nicole,HI,State Representative,145,Yes*
Raynor (now Darling),Taylor,NY,State Representative,6,No*
Gucker,Kenneth,CT,State Representative,18,No*
Bailey,Donna,ME,State Senate,31,Yes*
Welch-Collins,Baird,CT,State Representative,14,No*
Jackson,Carolyn,IN,State Representative,38,No*
K.Y. Say,Calvin,HI,City Council ,5,Yes*
McDermott,Bob,HI,State Representative,40,Yes*
Martinez,Rose,HI,State Representative,40,No*
Gaughran,James,NY,State Senate,40,No*
Abrahamson,Brian,MN,State Representative,5,No*
Lewis,Kathy,FL,State Senate,22A,No*
Perruso,Amy,HI,State Representative,20,No*
Ramone,Michael,DE,State Representative,21,Yes
Conrad,Tim,DE,State Representative,26,No
Dailey,Scott,OH,State Representative,91,No
Toomey,Lisa,MN,Eden Prairie City Council,,No
Mason,Josh,MA,State Representative,First Barnstable,No
Cyr,Julian,MA,State Senate, Cape & Islands,Yes
Rehm,Lucille,MN,City Council,,No
McBride,Sarah,DE,State Senate,1,No
